subject,true_letter,pred_letter,correct,response_chars,response_words,has_repetition,has_stop_marker
abstract_algebra,A,,0,1,0,0,0
abstract_algebra,D,C,0,377,75,0,0
abstract_algebra,C,C,1,275,48,0,0
abstract_algebra,D,D,1,258,54,0,0
abstract_algebra,B,B,1,368,69,0,0
abstract_algebra,D,D,1,290,53,0,0
abstract_algebra,B,C,0,342,57,0,0
abstract_algebra,C,A,0,312,58,0,0
abstract_algebra,A,A,1,465,98,0,0
abstract_algebra,D,C,0,305,60,0,0
abstract_algebra,C,C,1,335,58,0,0
abstract_algebra,B,,0,1,0,0,0
abstract_algebra,D,A,0,441,78,0,0
abstract_algebra,A,,0,1,0,0,0
abstract_algebra,C,A,0,374,73,0,0
abstract_algebra,D,B,0,417,80,0,0
abstract_algebra,C,,0,1,0,0,0
abstract_algebra,A,,0,1,0,0,0
abstract_algebra,A,A,1,340,71,0,0
abstract_algebra,A,A,1,222,45,0,0
abstract_algebra,C,C,1,329,49,0,0
abstract_algebra,D,,0,1,0,0,0
abstract_algebra,B,A,0,412,82,0,0
abstract_algebra,B,C,0,12,2,0,0
abstract_algebra,A,B,0,1297,241,0,0
abstract_algebra,D,A,0,386,68,0,0
abstract_algebra,C,C,1,314,69,0,0
abstract_algebra,B,B,1,363,80,0,0
abstract_algebra,C,C,1,262,46,0,0
abstract_algebra,C,C,1,369,81,0,0
abstract_algebra,C,C,1,403,65,0,0
college_computer_science,A,A,1,239,38,0,0
college_computer_science,C,,0,1,0,0,0
college_computer_science,B,D,0,834,182,0,0
college_computer_science,A,A,1,345,60,0,0
college_computer_science,C,C,1,369,65,0,0
college_computer_science,C,D,0,593,104,0,0
college_computer_science,C,,0,1,0,0,0
college_computer_science,B,B,1,314,53,0,0
college_computer_science,C,B,0,314,49,0,0
college_computer_science,C,C,1,39,5,0,0
college_computer_science,D,D,1,381,64,0,0
college_computer_science,A,A,1,345,61,0,0
college_computer_science,A,A,1,650,138,0,0
college_computer_science,C,C,1,421,68,0,0
college_computer_science,A,D,0,541,104,0,0
college_computer_science,D,A,0,290,52,0,0
college_computer_science,D,B,0,40,5,0,0
college_computer_science,B,D,0,224,42,0,0
college_computer_science,A,A,1,308,44,0,0
college_computer_science,D,D,1,299,52,0,0
college_computer_science,D,D,1,309,52,0,0
college_computer_science,B,C,0,287,47,0,0
college_computer_science,A,A,1,359,55,0,0
college_computer_science,A,B,0,453,88,0,0
college_computer_science,A,D,0,97,16,0,0
college_computer_science,D,,0,1,0,0,0
college_computer_science,C,C,1,272,41,0,0
college_computer_science,D,D,1,255,44,0,0
college_computer_science,D,D,1,565,86,0,0
college_computer_science,C,C,1,390,65,0,0
college_computer_science,C,C,1,229,39,0,0
college_computer_science,D,D,1,1045,174,0,0
college_computer_science,D,D,1,458,77,0,0
college_computer_science,A,A,1,314,53,0,0
college_computer_science,B,B,1,364,55,0,0
college_computer_science,C,C,1,234,39,0,0
college_computer_science,C,,0,1,0,0,0
college_computer_science,D,D,1,609,116,0,0
college_computer_science,D,A,0,798,132,0,0
college_computer_science,B,B,1,319,54,0,0
college_computer_science,A,A,1,384,53,0,0
college_computer_science,D,D,1,420,63,0,0
college_computer_science,A,A,1,667,129,0,0
college_computer_science,D,,0,1,0,0,0
college_computer_science,D,D,1,567,103,0,0
college_computer_science,C,C,1,376,59,0,0
college_computer_science,D,D,1,351,61,0,0
college_computer_science,A,A,1,326,50,0,0
college_computer_science,A,,0,1,0,0,0
college_computer_science,D,D,1,352,65,0,0
college_computer_science,D,D,1,304,51,0,0
college_computer_science,B,D,0,342,47,0,0
college_computer_science,C,,0,1,0,0,0
college_computer_science,C,C,1,457,72,0,0
college_computer_science,A,A,1,185,32,0,0
college_computer_science,C,C,1,694,141,0,0
college_computer_science,D,,0,13,2,0,0
college_computer_science,D,D,1,444,58,0,0
college_computer_science,B,A,0,436,87,0,0
college_computer_science,D,,0,0,0,0,0
college_computer_science,D,D,1,797,153,0,0
college_computer_science,B,B,1,398,66,0,0
college_computer_science,D,D,1,288,45,0,0
college_computer_science,A,A,1,353,48,0,0
college_computer_science,A,C,0,461,84,0,0
college_computer_science,C,C,1,465,102,0,0
college_computer_science,A,A,1,456,81,0,0
college_computer_science,B,C,0,370,58,0,0
college_computer_science,B,B,1,520,98,0,0
college_computer_science,A,A,1,415,63,0,0
college_computer_science,D,D,1,368,55,0,0
college_computer_science,A,,0,1,0,0,0
college_computer_science,D,,0,1,0,0,0
college_computer_science,C,C,1,642,100,0,0
college_computer_science,D,,0,1,0,0,0
college_computer_science,C,C,1,410,59,0,0
college_computer_science,A,A,1,315,63,0,0
college_computer_science,B,,0,1,0,0,0
college_computer_science,C,,0,1,0,0,0
college_computer_science,D,D,1,296,48,0,0
college_computer_science,B,D,0,451,84,0,0
college_computer_science,C,C,1,473,70,0,0
college_computer_science,D,,0,1,0,0,0
college_computer_science,A,A,1,461,71,0,0
college_computer_science,D,D,1,370,66,0,0
college_computer_science,D,D,1,528,101,0,0
college_computer_science,A,A,1,194,34,0,0
college_computer_science,B,C,0,370,67,0,0
college_computer_science,C,C,1,532,101,0,0
college_computer_science,A,A,1,301,45,0,0
college_computer_science,C,,0,1,0,0,0
college_computer_science,C,C,1,589,127,0,0
college_computer_science,B,,0,1,0,0,0
college_computer_science,C,C,1,321,55,0,0
college_computer_science,D,D,1,46,7,0,0
college_computer_science,A,A,1,286,48,0,0
college_computer_science,A,A,1,277,48,0,0
college_computer_science,D,,0,1,0,0,0
college_computer_science,C,A,0,2148,354,0,0
college_computer_science,D,D,1,264,50,0,0
high_school_computer_science,C,C,1,230,44,0,0
high_school_computer_science,A,A,1,376,66,0,0
high_school_computer_science,A,A,1,430,81,0,0
high_school_computer_science,C,B,0,508,85,0,0
high_school_computer_science,B,B,1,419,67,0,0
high_school_computer_science,C,C,1,151,30,0,0
high_school_computer_science,B,B,1,97,18,0,0
high_school_computer_science,B,B,1,378,60,0,0
high_school_computer_science,A,A,1,45,7,0,0
high_school_computer_science,B,B,1,143,25,0,0
high_school_computer_science,B,B,1,322,51,0,0
high_school_computer_science,C,C,1,83,11,0,0
high_school_computer_science,C,B,0,438,79,0,0
high_school_computer_science,B,B,1,322,45,0,0
high_school_computer_science,C,,0,1,0,0,0
high_school_computer_science,A,A,1,350,60,0,0
high_school_computer_science,D,D,1,184,37,0,0
high_school_computer_science,D,D,1,297,49,0,0
high_school_computer_science,D,D,1,239,39,0,0
high_school_computer_science,A,A,1,505,79,0,0
high_school_computer_science,C,C,1,275,40,0,0
high_school_computer_science,B,B,1,163,27,0,0
high_school_computer_science,B,B,1,232,40,0,0
high_school_computer_science,C,C,1,377,63,0,0
high_school_computer_science,D,D,1,493,94,0,0
high_school_computer_science,C,,0,1,0,0,0
high_school_computer_science,C,C,1,408,63,0,0
high_school_computer_science,D,D,1,520,100,0,0
high_school_computer_science,A,B,0,454,75,0,0
high_school_computer_science,A,A,1,207,28,0,0
high_school_computer_science,A,A,1,378,71,0,0
high_school_computer_science,C,C,1,193,31,0,0
high_school_computer_science,D,C,0,428,68,0,0
high_school_computer_science,B,B,1,347,46,0,0
high_school_computer_science,C,C,1,250,45,0,0
high_school_computer_science,B,B,1,281,54,0,0
high_school_computer_science,A,A,1,299,52,0,0
high_school_computer_science,A,,0,1,0,0,0
high_school_computer_science,C,C,1,275,49,0,0
high_school_computer_science,D,A,0,534,85,0,0
high_school_computer_science,B,B,1,213,33,0,0
high_school_computer_science,C,,0,1,0,0,0
high_school_computer_science,A,A,1,720,149,0,0
high_school_computer_science,A,B,0,438,75,0,0
high_school_computer_science,C,C,1,298,44,0,0
high_school_computer_science,B,B,1,278,53,0,0
high_school_computer_science,C,C,1,223,41,0,0
high_school_computer_science,A,,0,1,0,0,0
high_school_computer_science,B,B,1,385,67,0,0
high_school_computer_science,C,C,1,294,49,0,0
high_school_computer_science,A,A,1,58,9,0,0
high_school_computer_science,C,C,1,303,52,0,0
high_school_computer_science,A,A,1,306,48,0,0
high_school_computer_science,A,A,1,474,79,0,0
high_school_computer_science,D,D,1,355,63,0,0
high_school_computer_science,A,A,1,90,13,0,0
high_school_computer_science,C,C,1,516,96,0,0
high_school_computer_science,D,D,1,389,56,0,0
high_school_computer_science,C,A,0,57,9,0,0
high_school_computer_science,A,A,1,180,32,0,0
high_school_computer_science,D,D,1,178,31,0,0
high_school_computer_science,B,B,1,456,67,0,0
high_school_computer_science,B,B,1,382,71,0,0
high_school_computer_science,D,D,1,249,37,0,0
high_school_computer_science,A,A,1,346,53,0,0
high_school_computer_science,D,D,1,229,39,0,0
high_school_computer_science,D,B,0,387,66,0,0
high_school_computer_science,C,C,1,358,66,0,0
high_school_computer_science,D,D,1,236,47,0,0
high_school_computer_science,D,C,0,462,83,0,0
high_school_computer_science,B,,0,1,0,0,0
high_school_computer_science,B,B,1,376,57,0,0
high_school_computer_science,C,C,1,182,36,0,0
high_school_computer_science,D,D,1,57,8,0,0
high_school_computer_science,C,D,0,79,13,0,0
high_school_computer_science,C,A,0,326,49,0,0
high_school_computer_science,C,,0,1,0,0,0
high_school_computer_science,B,B,1,382,62,0,0
high_school_computer_science,A,A,1,349,60,0,0
high_school_computer_science,D,D,1,293,41,0,0
high_school_computer_science,A,A,1,275,47,0,0
high_school_computer_science,C,B,0,573,85,0,0
high_school_computer_science,C,C,1,278,45,0,0
high_school_computer_science,B,B,1,229,39,0,0
high_school_computer_science,C,C,1,258,40,0,0
high_school_computer_science,A,A,1,386,62,0,0
high_school_computer_science,B,B,1,293,50,0,0
high_school_computer_science,A,A,1,402,67,0,0
high_school_computer_science,C,C,1,348,61,0,0
high_school_computer_science,A,A,1,396,62,0,0
high_school_computer_science,A,,0,2,0,0,0
high_school_computer_science,C,,0,1,0,0,0
high_school_computer_science,C,C,1,302,55,0,0
high_school_computer_science,D,D,1,323,58,0,0
high_school_computer_science,B,B,1,69,10,0,0
high_school_computer_science,C,C,1,319,61,0,0
high_school_computer_science,B,B,1,12,2,0,0
high_school_computer_science,B,B,1,320,54,0,0
high_school_computer_science,D,D,1,364,50,0,0
high_school_computer_science,C,C,1,243,38,0,0
college_mathematics,B,,0,1,0,0,0
college_mathematics,D,C,0,589,104,0,0
college_mathematics,D,,0,1,0,0,0
college_mathematics,A,A,1,411,79,0,0
college_mathematics,C,C,1,578,119,0,0
college_mathematics,D,B,0,461,87,0,0
college_mathematics,C,C,1,885,179,0,0
college_mathematics,C,C,1,428,81,0,0
college_mathematics,C,C,1,404,66,0,0
college_mathematics,A,C,0,250,40,0,0
college_mathematics,D,D,1,208,45,0,0
college_mathematics,B,A,0,578,137,0,0
college_mathematics,A,,0,0,0,0,0
college_mathematics,B,A,0,568,109,0,0
college_mathematics,D,D,1,1169,224,0,0
college_mathematics,D,A,0,64,9,0,0
college_mathematics,B,D,0,122,19,0,0
college_mathematics,C,C,1,992,214,0,0
college_mathematics,D,A,0,359,53,0,0
college_mathematics,A,A,1,442,99,0,0
college_mathematics,D,D,1,34,6,0,0
college_mathematics,D,D,1,484,84,0,0
college_mathematics,B,,0,1,0,0,0
college_mathematics,A,A,1,793,169,0,0
college_mathematics,B,,0,1,0,0,0
college_mathematics,D,,0,1,0,0,0
college_mathematics,D,,0,1,0,0,0
college_mathematics,A,B,0,524,96,0,0
college_mathematics,A,D,0,767,162,0,0
college_mathematics,B,,0,1,0,0,0
college_mathematics,C,A,0,561,106,0,0
college_mathematics,B,B,1,569,107,0,0
college_mathematics,B,B,1,324,67,0,0
college_mathematics,C,D,0,395,64,0,0
college_mathematics,D,D,1,413,74,0,0
college_mathematics,D,C,0,600,121,0,0
college_mathematics,A,,0,1,0,0,0
college_mathematics,A,A,1,541,114,0,0
college_mathematics,A,A,1,313,51,0,0
college_mathematics,C,D,0,461,91,0,0
college_mathematics,B,B,1,314,58,0,0
college_mathematics,D,D,1,182,32,0,0
college_mathematics,D,,0,1,0,0,0
college_mathematics,A,C,0,511,100,0,0
college_mathematics,D,D,1,466,105,0,0
college_mathematics,A,B,0,338,49,0,0
college_mathematics,B,A,0,435,92,0,0
college_mathematics,B,,0,27,4,0,0
college_mathematics,C,C,1,508,89,0,0
college_mathematics,D,,0,1,0,0,0
college_mathematics,A,B,0,250,45,0,0
college_mathematics,B,B,1,289,52,0,0
college_mathematics,C,C,1,338,63,0,0
college_mathematics,C,C,1,791,139,0,0
college_mathematics,A,D,0,697,134,0,0
college_mathematics,D,D,1,236,49,0,0
college_mathematics,B,,0,1,0,0,0
college_mathematics,D,D,1,559,107,0,0
college_mathematics,C,B,0,656,135,0,0
college_mathematics,A,,0,1,0,0,0
college_mathematics,B,,0,1,0,0,0
college_mathematics,A,A,1,461,72,0,0
college_mathematics,A,C,0,357,60,0,0
college_mathematics,D,D,1,370,71,0,0
college_mathematics,B,B,1,13,2,0,0
college_mathematics,D,C,0,1218,277,0,0
college_mathematics,C,,0,1,0,0,0
college_mathematics,D,,0,1,0,0,0
college_mathematics,A,A,1,1174,224,0,0
college_mathematics,A,A,1,886,174,0,0
college_mathematics,D,,0,1,0,0,0
college_mathematics,D,D,1,408,66,0,0
college_mathematics,D,D,1,224,47,0,0
college_mathematics,D,D,1,607,105,0,0
college_mathematics,C,C,1,1104,211,0,0
college_mathematics,D,A,0,487,85,0,0
college_mathematics,D,D,1,423,75,0,0
college_mathematics,C,C,1,306,64,0,0
college_mathematics,B,B,1,482,106,0,0
college_mathematics,B,,0,1,0,0,0
college_mathematics,C,C,1,413,84,0,0
college_mathematics,B,B,1,471,122,0,0
college_mathematics,B,B,1,537,106,0,0
college_mathematics,C,,0,1,0,0,0
college_mathematics,C,A,0,488,97,0,0
college_mathematics,B,A,0,612,115,0,0
college_mathematics,A,A,1,368,68,0,0
college_mathematics,C,C,1,1592,267,0,0
college_mathematics,C,A,0,757,139,0,0
college_mathematics,C,A,0,226,42,0,0
college_mathematics,B,B,1,457,97,0,0
college_mathematics,C,,0,1,0,0,0
college_mathematics,C,A,0,414,88,0,0
college_mathematics,B,,0,1,0,0,0
college_mathematics,D,D,1,374,70,0,0
college_mathematics,D,D,1,1009,227,0,0
college_mathematics,C,C,1,358,64,0,0
college_mathematics,C,,0,1,0,0,0
college_mathematics,D,D,1,1084,221,0,0
college_mathematics,A,B,0,762,141,0,0
high_school_mathematics,D,A,0,842,170,0,0
high_school_mathematics,C,C,1,366,82,0,0
high_school_mathematics,A,A,1,484,99,0,0
high_school_mathematics,B,,0,1,0,0,0
high_school_mathematics,C,D,0,347,62,0,0
high_school_mathematics,B,,0,1,0,0,0
high_school_mathematics,C,C,1,454,86,0,0
high_school_mathematics,A,A,1,1113,258,0,0
high_school_mathematics,C,C,1,936,129,0,0
high_school_mathematics,B,,0,0,0,0,0
high_school_mathematics,D,D,1,452,100,0,0
high_school_mathematics,D,,0,1,0,0,0
high_school_mathematics,D,D,1,671,123,0,0
high_school_mathematics,B,,0,2,0,0,0
high_school_mathematics,D,D,1,608,114,0,0
high_school_mathematics,D,D,1,526,89,0,0
high_school_mathematics,A,A,1,203,47,0,0
high_school_mathematics,B,A,0,1096,207,0,0
high_school_mathematics,A,A,1,525,133,0,0
high_school_mathematics,B,A,0,381,61,0,0
high_school_mathematics,D,D,1,560,105,0,0
high_school_mathematics,B,B,1,263,60,0,0
high_school_mathematics,D,B,0,612,123,0,0
high_school_mathematics,B,B,1,561,112,0,0
high_school_mathematics,A,,0,2,0,0,0
high_school_mathematics,C,C,1,335,68,0,0
high_school_mathematics,D,D,1,326,51,0,0
high_school_mathematics,C,,0,1,0,0,0
high_school_mathematics,C,C,1,474,97,0,0
high_school_mathematics,D,D,1,385,79,0,0
high_school_mathematics,C,C,1,273,55,0,0
high_school_mathematics,A,,0,1,0,0,0
high_school_mathematics,D,D,1,188,36,0,0
high_school_mathematics,A,C,0,537,106,0,0
high_school_mathematics,A,A,1,567,137,0,0
high_school_mathematics,D,D,1,659,149,0,0
high_school_mathematics,C,C,1,532,79,0,0
high_school_mathematics,C,,0,1,0,0,0
high_school_mathematics,A,A,1,452,95,0,0
high_school_mathematics,A,A,1,351,58,0,0
high_school_mathematics,B,B,1,1378,295,0,0
high_school_mathematics,C,C,1,623,132,0,0
high_school_mathematics,B,C,0,281,48,0,0
high_school_mathematics,C,A,0,152,26,0,0
high_school_mathematics,C,C,1,652,141,0,0
high_school_mathematics,D,D,1,412,78,0,0
high_school_mathematics,D,D,1,178,36,0,0
high_school_mathematics,A,A,1,488,88,0,0
high_school_mathematics,D,D,1,587,120,0,0
high_school_mathematics,B,B,1,345,69,0,0
high_school_mathematics,D,D,1,623,98,0,0
high_school_mathematics,A,A,1,585,97,0,0
high_school_mathematics,B,,0,1,0,0,0
high_school_mathematics,C,C,1,484,89,0,0
high_school_mathematics,C,C,1,350,50,0,0
high_school_mathematics,A,A,1,1084,164,0,0
high_school_mathematics,B,B,1,304,48,0,0
high_school_mathematics,B,C,0,262,52,0,0
high_school_mathematics,B,B,1,390,82,0,0
high_school_mathematics,C,C,1,617,129,0,0
high_school_mathematics,D,,0,1,0,0,0
high_school_mathematics,B,,0,1,0,0,0
high_school_mathematics,A,D,0,1190,207,0,0
high_school_mathematics,D,,0,1,0,0,0
high_school_mathematics,C,C,1,331,67,0,0
high_school_mathematics,B,,0,1,0,0,0
high_school_mathematics,C,C,1,285,64,0,0
high_school_mathematics,B,,0,1,0,0,0
high_school_mathematics,D,D,1,454,86,0,0
high_school_mathematics,A,,0,1,0,0,0
high_school_mathematics,C,C,1,278,56,0,0
high_school_mathematics,B,B,1,399,54,0,0
high_school_mathematics,A,A,1,326,59,0,0
high_school_mathematics,C,C,1,567,125,0,0
high_school_mathematics,B,A,0,656,111,0,0
high_school_mathematics,D,,0,0,0,0,0
high_school_mathematics,D,D,1,486,78,0,0
high_school_mathematics,A,A,1,357,83,0,0
high_school_mathematics,C,C,1,225,43,0,0
high_school_mathematics,B,,0,1,0,0,0
high_school_mathematics,B,B,1,258,55,0,0
high_school_mathematics,A,,0,1,0,0,0
high_school_mathematics,C,C,1,436,89,0,0
high_school_mathematics,D,D,1,1065,217,0,0
high_school_mathematics,D,,0,1,0,0,0
high_school_mathematics,B,B,1,285,68,0,0
high_school_mathematics,D,A,0,1314,275,0,0
high_school_mathematics,A,A,1,295,55,0,0
high_school_mathematics,D,,0,1,0,0,0
high_school_mathematics,C,D,0,1087,183,0,0
high_school_mathematics,B,A,0,1987,369,0,0
high_school_mathematics,C,,0,1,0,0,0
high_school_mathematics,B,A,0,452,60,0,0
high_school_mathematics,D,D,1,806,173,0,0
high_school_mathematics,A,A,1,1248,236,0,0
high_school_mathematics,A,A,1,719,152,0,0
high_school_mathematics,A,A,1,437,94,0,0
high_school_mathematics,B,B,1,250,49,0,0
high_school_mathematics,C,C,1,634,119,0,0
high_school_mathematics,A,A,1,572,141,0,0
high_school_mathematics,B,B,1,247,48,0,0
high_school_mathematics,D,A,0,501,113,0,0
high_school_mathematics,C,D,0,272,48,0,0
high_school_mathematics,D,D,1,620,97,0,0
high_school_mathematics,D,A,0,1556,289,0,0
high_school_mathematics,A,A,1,202,40,0,0
high_school_mathematics,B,B,1,407,78,0,0
high_school_mathematics,C,C,1,922,197,0,0
high_school_mathematics,C,,0,1,0,0,0
high_school_mathematics,D,D,1,340,48,0,0
high_school_mathematics,C,C,1,429,79,0,0
high_school_mathematics,C,C,1,417,77,0,0
high_school_mathematics,A,B,0,408,84,0,0
high_school_mathematics,A,A,1,726,160,0,0
high_school_mathematics,D,D,1,538,122,0,0
high_school_mathematics,A,A,1,658,133,0,0
high_school_mathematics,C,C,1,275,44,0,0
high_school_mathematics,C,C,1,469,85,0,0
high_school_mathematics,A,A,1,350,72,0,0
